source,target,weight
665418,213122,0.08820723686679131
690184,213122,0.08776196943790754
1639206,213122,0.09417791935975067
2016446,213122,0.08747577151066857
2377758,213123,0.07079470825439567
3755789,213123,0.14209735023123318
3437325,213123,0.0718423015469542
3479701,213123,0.08526285365887534
3685726,213123,0.11811424611731018
1787562,213123,0.08712799152810867
3480527,213123,0.08540972252869522
3479604,213123,0.09475910791710412
1322141,213123,0.09046239329740696
2361981,213123,0.0715720023751512
3620416,213123,0.08385688595513109
2266387,213123,0.08996628923872943
776634,213123,0.1045488267743157
3372570,213123,0.0872641449936074
3286763,213123,0.0859613349814338
625107,213124,0.07651623884745748
2314768,213124,0.07538267862720974
3286685,213124,0.09225744449722167
2099048,213124,0.07137867775013951
3751922,213124,0.0889600566355394
901675,213124,0.07658254589393527
2091122,213124,0.11260803828751295
2080328,213124,0.0908830801793858
345713,213124,0.09062751908039043
780153,213124,0.1044713493668301
2510599,213125,0.07161132710550465
3430282,213125,0.14481344436085694
3496844,213125,0.1160934619463063
3401711,213125,0.07338244411965435
3285530,213125,0.08267505755234777
66942,213125,0.07159778120100076
120288,213125,0.0871153572006667
1502057,213125,0.13083904280005818
3731435,213125,0.14847424544053975
1479052,213125,0.07678377079702428
2490615,213125,0.1149072299972224
772651,213125,0.07058323480255092
1509913,213125,0.11019517852641804
642837,213125,0.07324447025362238
548791,213125,0.07080387147972825
1287824,213125,0.07466096532402869
1290546,213125,0.07555585666193362
2377905,213125,0.11564949335662687
356489,213125,0.1082633045879371
2478238,213126,0.08102564795091365
275673,213126,0.13591564836296835
339591,213122,0.0792166628454985
2153316,213122,0.07870268680304937
3285375,213122,0.07363605601538771
1825740,213122,0.0793168913706267
3375114,213126,0.08111078864432103
1317081,213127,0.15650096101142852
100472,213127,0.07955186004252457
3384632,213127,0.14373221694439814
3757476,213127,0.13992318648992152
3442584,213127,0.16345482776055914
2322567,213127,0.1468164250306853
2332610,213127,0.13725024028425922
1302844,213127,0.11540653794570074
3409161,213127,0.10804685671935764
3488854,213127,0.10933955678746976
3471463,213127,0.1436127062455798
3368967,213127,0.10987764386442042
2498499,213127,0.1242621035717454
15958,213127,0.11138201844359033
3731935,213127,0.11222151243742068
3422374,213127,0.11779518556701027
3500915,213127,0.13690054662008805
2314759,213127,0.0768892568082752
1487840,213127,0.1248396839038758
1534613,213127,0.15532493665395936
2317620,213127,0.1686675403265404
1543737,213127,0.10452812724225123
2325337,213127,0.07249669666039019
1866898,213127,0.14861414915198162
1628460,213127,0.07201643894842964
1353578,213127,0.09844671447137783
1425722,213127,0.14886007679524946
3636718,213128,0.11981990413180273
3758164,213128,0.10039400549769686
773547,213128,0.14365888281222053
3714524,213128,0.17093277393409098
821790,213128,0.07852073546125367
1431880,213128,0.0951227185830306
3713475,213128,0.1120742697578026
1537350,213128,0.10769899882693516
2501126,213128,0.15462742229383403
3634782,213128,0.1015508126051292
3397577,213128,0.10782898035625464
1822934,213128,0.0707543737467044
3458668,213128,0.1329962099097504
727256,213128,0.07892243945195965
3486422,213128,0.13606673544384
1948288,213128,0.07362602596260744
2363649,213128,0.11811342326809962
533207,213128,0.1387966647018315
3298608,213128,0.1187810396715923
1438740,213128,0.10992768872811093
1467559,213128,0.08488082173954037
3514978,213128,0.13901037812771092
1484416,213128,0.12656364198938913
1479348,213128,0.14689271855765812
3478238,213128,0.1384863969821062
2355609,213129,0.09903458281387216
222698,213129,0.09078555286629028
78104,213122,0.08322561718280769
1829297,213122,0.07062315522094889
797592,213129,0.09502450625849357
785058,213122,0.09744809716852998
2095170,213123,0.07263983474472195
3640754,213123,0.07151902407884184
3449476,213123,0.07448382029853806
3457031,213123,0.08640486954739347
1299645,213129,0.11530537049328185
1285559,213129,0.1438053061123072
1766619,213129,0.14619347533279312
3270456,213129,0.11737795250146175
2504770,213123,0.08788661809269334
3471957,213123,0.07703085507424523
3492407,213123,0.07501026879086697
3375392,213123,0.10332250245796656
3299773,213123,0.0929189383351406
1317124,213123,0.07391068541656133
298437,213123,0.0885102613618269
127638,213129,0.11285961017975142
1298587,213129,0.0778497126051748
1448655,213129,0.1008490923138776
1465290,213129,0.1032593061681038
1315686,213130,0.07103237446819882
3494629,213130,0.07414015100213389
915255,213130,0.10666865971588288
3503673,213130,0.07290804882533987
2343912,213130,0.09151786971765022
3444673,213130,0.125662338346605
3482414,213130,0.09139562743524547
493085,213130,0.10414427048409758
3487804,213130,0.07171776171270039
898760,213130,0.13951875161333993
2498420,213130,0.13955972407506087
1999596,213130,0.09196972895756657
3424144,213130,0.08450764515957533
3393914,213130,0.10422656771656186
3737111,213130,0.07470349241907738
3755467,213130,0.0878199644571355
873297,213130,0.09690495677682552
3285943,213130,0.08496191460718533
3398533,213123,0.11695203069494305
667626,213123,0.0833618971230695
772629,213123,0.12867195191683273
269701,213123,0.12603422168532796
685197,213123,0.07703337638819427
3456712,213123,0.08993819077652475
1391992,213130,0.10129611348930456
3301412,213130,0.08421121106538955
3292220,213130,0.0829622130205408
2489552,213130,0.07609209296890654
57811,213130,0.11492135659468075
814158,213130,0.07410141004216862
3390798,213130,0.0901348030151493
3445948,213130,0.09154404787787963
788870,213130,0.07060538030323221
