id,label,lat,lon,paper,infomap,hierarchy,x,y,z
5923,ZWE,-19.0,32.41667,1,8,8:70,-33.2640149021245,-24.51463800672255,29.52593538103679
5923,ZWE,-17.96667,31.66667,1,8,8:70,-33.2640149021245,-24.51463800672255,29.52593538103679
10055,NPL,27.98791,86.92529,1,17,17:56,-37.997205851653206,99.8480288546088,44.62388756961292
10055,NPL,29.0,83.0,1,17,17:56,-37.997205851653206,99.8480288546088,44.62388756961292
10055,NPL,28.0,84.0,1,17,17:56,-37.997205851653206,99.8480288546088,44.62388756961292
10156,CHN,35.0,105.0,1,1,1:96,-151.23649093507618,26.032524479631547,7.141373825205392
10865,CHN,30.58333,114.26667,1,1,1:125,-129.6659467184815,11.976188975123875,1.9881896906414624
10865,CHN,35.0,105.0,1,1,1:125,-129.6659467184815,11.976188975123875,1.9881896906414624
10865,CHN,30.59972,114.30944,1,1,1:125,-129.6659467184815,11.976188975123875,1.9881896906414624
11102,CHN,35.0,105.0,1,2,2:317,-94.19953270277648,-8.401880725877874,-0.3066144859737392
13870,PRT,41.14961,-8.61099,1,20,20:31,-74.73202672105083,-14.118550765994286,-100.9388637092568
13870,PRT,39.6945,-8.13057,1,20,20:31,-74.73202672105083,-14.118550765994286,-100.9388637092568
15249,AUS,-25.0,135.0,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,BRA,-10.0,-55.0,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,CAN,60.10867,-113.64258,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,CHN,35.0,105.0,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,ITA,42.83333,12.83333,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,JPN,35.68536,139.75309,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,KOR,36.5,127.75,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,ESP,40.0,-4.0,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
15249,SWE,62.0,15.0,1,1,1:225,-151.95128707465514,19.51186735374438,6.821405315044103
